                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1386,                 3.7027,                 4.1086,                 0.0023,                0.70816,                0.07001,                0.01804,                 2.8054,                 3.9977,                 3.9669,             0.00054433,             0.00054433,             0.00054433
                      2,                 2.9524,                 3.4374,                 3.7299,                 0.5099,                0.36531,                0.01848,                0.00542,                 2.8331,                 5.5771,                 3.6254,              0.0010891,              0.0010891,              0.0010891
                      3,                 2.6202,                 3.2665,                 3.3424,                0.55245,                0.18571,                0.03982,                0.00936,                 2.6282,                 5.5399,                 3.4003,              0.0016229,              0.0016229,              0.0016229
                      4,                 2.5287,                 3.1294,                 3.1333,                 0.5173,                0.06531,                  0.011,                  0.003,                 2.6573,                 3.7533,                  3.851,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.4313,                 3.0344,                  2.983,                0.52074,                0.07347,                 0.0111,                0.00279,                  2.526,                 4.3019,                 3.8392,               0.001601,               0.001601,               0.001601
                      6,                 2.3161,                 2.8287,                 2.8299,                 0.5632,                0.18367,                0.04926,                0.01558,                 2.2194,                 3.0552,                 3.0174,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.1824,                 2.6941,                 2.6913,                0.58572,                0.17959,                0.07205,                0.01982,                 2.2437,                 4.5821,                 2.9603,               0.001568,               0.001568,               0.001568
                      8,                 2.0799,                  2.525,                 2.5744,                 0.6313,                0.16788,                0.13387,                0.04383,                  2.233,                 2.9172,                 3.0562,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.0176,                 2.4537,                 2.4839,                0.63144,                0.16122,                0.12965,                0.04425,                 2.1726,                 2.7523,                 3.1242,               0.001535,               0.001535,               0.001535
                     10,                 1.9265,                 2.2669,                 2.4037,                0.63521,                0.22041,                0.12479,                0.04494,                  2.036,                 2.5556,                 2.7848,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.8869,                 2.2301,                 2.3805,                0.67277,                0.21429,                0.17697,                0.07343,                 1.9081,                 2.5294,                 2.6564,               0.001502,               0.001502,               0.001502
                     12,                 1.8377,                 2.1918,                 2.3239,                0.68245,                0.19796,                0.17559,                0.06563,                 1.9267,                 2.2939,                 2.7281,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.8004,                  2.086,                 2.2632,                 0.7601,                0.27959,                0.27462,                0.11211,                 1.9509,                 2.3709,                 2.8623,               0.001469,               0.001469,               0.001469
                     14,                 1.7275,                 1.9583,                 2.1889,                0.77403,                0.30816,                 0.3076,                0.14838,                  1.749,                 2.0339,                 2.5201,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.6761,                 1.9334,                 2.1354,                0.78952,                0.27959,                0.32881,                0.17169,                 1.6657,                 1.8639,                 2.4865,               0.001436,               0.001436,               0.001436
                     16,                 1.6434,                 1.9124,                 2.1281,                0.76786,                0.25714,                0.27873,                0.14477,                 1.6848,                 2.0315,                 2.4996,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.6528,                 1.8556,                 2.1289,                0.70319,                0.25306,                0.22679,                0.09201,                 2.1005,                 2.0825,                 2.7998,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.6047,                 1.8136,                 2.0916,                0.77797,                0.27959,                0.31285,                0.15094,                 1.7376,                 1.8285,                 2.4789,              0.0013864,              0.0013864,              0.0013864
                     19,                   1.58,                   1.77,                 2.0422,                0.82707,                0.27551,                0.31059,                0.16608,                 1.6972,                 1.9349,                 2.4185,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.5769,                 1.7593,                 2.0462,                0.83922,                0.28163,                0.38161,                0.21418,                 1.5451,                 1.6764,                 2.3012,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.5391,                 1.7445,                 2.0068,                0.82804,                    0.3,                0.35847,                0.18468,                  1.642,                 1.7679,                 2.4103,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.5297,                 1.7419,                 2.0094,                0.77589,                0.29184,                0.32182,                0.16893,                 1.5904,                 1.7151,                 2.2511,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.5155,                  1.731,                 1.9688,                0.81563,                0.30204,                0.36351,                0.19944,                 1.5196,                 1.6484,                 2.2145,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.5168,                  1.652,                 1.9903,                 0.8292,                0.34082,                0.39072,                0.21283,                 1.5072,                 1.5583,                   2.19,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.4929,                 1.6559,                 1.9694,                0.81139,                0.34082,                0.36246,                0.19765,                 1.4231,                  1.688,                 2.1683,              0.0012709,              0.0012709,              0.0012709
